14-07-2023 10:50:47 :: Abrindo URL
14-07-2023 10:51:03 :: Iniciando a coleta
14-07-2023 10:51:09 :: ADD - {'position': '50', 'movie': 'Era uma Vez no Oeste', 'year': '1968', 'duration': '2h 45m', 'rating': '14', 'rate': '8.5', 'history_id': 11}
14-07-2023 10:51:09 :: ADD - {'position': '51', 'movie': 'Janela Indiscreta', 'year': '1954', 'duration': '1h 52m', 'rating': '12', 'rate': '8.5', 'history_id': 11}
14-07-2023 10:51:09 :: ADD - {'position': '52', 'movie': 'Alien - O 8º Passageiro', 'year': '1979', 'duration': '1h 57m', 'rating': '14', 'rate': '8.5', 'history_id': 11}
14-07-2023 10:51:09 :: ADD - {'position': '53', 'movie': 'Luzes da Cidade', 'year': '1931', 'duration': '1h 27m', 'rating': 'Livre', 'rate': '8.5', 'history_id': 11}
14-07-2023 10:51:09 :: ADD - {'position': '54', 'movie': 'Apocalypse Now', 'year': '1979', 'duration': '2h 27m', 'rating': '16', 'rate': '8.4', 'history_id': 11}
14-07-2023 10:51:09 :: ADD - {'position': '55', 'movie': 'Amnésia', 'year': '2000', 'duration': '1h 53m', 'rating': '16', 'rate': '8.4', 'history_id': 11}
14-07-2023 10:51:09 :: ADD - {'position': '56', 'movie': 'Django Livre', 'year': '2012', 'duration': '2h 45m', 'rating': '16', 'rate': '8.4', 'history_id': 11}
14-07-2023 10:51:09 :: ADD - {'position': '57', 'movie': 'Os Caçadores da Arca Perdida', 'year': '1981', 'duration': '1h 55m', 'rating': 'Livre', 'rate': '8.4', 'history_id': 11}
14-07-2023 10:51:09 :: ADD - {'position': '58', 'movie': 'WALL·E', 'year': '2008', 'duration': '1h 38m', 'rating': 'Livre', 'rate': '8.4', 'history_id': 11}
14-07-2023 10:51:10 :: ADD - {'position': '59', 'movie': 'A Vida dos Outros', 'year': '2006', 'duration': '2h 17m', 'rating': '12', 'rate': '8.4', 'history_id': 11}
14-07-2023 10:51:10 :: ADD - {'position': '60', 'movie': 'Crepúsculo dos Deuses', 'year': '1950', 'duration': '1h 50m', 'rating': 'Livre', 'rate': '8.4', 'history_id': 11}
14-07-2023 10:51:10 :: ADD - {'position': '61', 'movie': 'Glória Feita de Sangue', 'year': '1957', 'duration': '1h 28m', 'rating': '14', 'rate': '8.4', 'history_id': 11}
14-07-2023 10:51:10 :: ADD - {'position': '62', 'movie': 'Vingadores: Guerra Infinita', 'year': '2018', 'duration': '2h 29m', 'rating': '12', 'rate': '8.4', 'history_id': 11}
14-07-2023 10:51:10 :: ADD - {'position': '63', 'movie': 'O Iluminado', 'year': '1980', 'duration': '2h 26m', 'rating': '16', 'rate': '8.4', 'history_id': 11}
14-07-2023 10:51:10 :: ADD - {'position': '64', 'movie': 'O Grande Ditador', 'year': '1940', 'duration': '2h 5m', 'rating': 'Livre', 'rate': '8.4', 'history_id': 11}
14-07-2023 10:51:10 :: ADD - {'position': '65', 'movie': 'Testemunha de Acusação', 'year': '1957', 'duration': '1h 56m', 'rating': '12', 'rate': '8.4', 'history_id': 11}
14-07-2023 10:51:10 :: ADD - {'position': '66', 'movie': 'Homem-Aranha: No Aranhaverso', 'year': '2018', 'duration': '1h 57m', 'rating': '10', 'rate': '8.4', 'history_id': 11}
14-07-2023 10:51:10 :: ADD - {'position': '67', 'movie': 'Aliens, O Resgate', 'year': '1986', 'duration': '2h 17m', 'rating': '14', 'rate': '8.4', 'history_id': 11}
14-07-2023 10:51:10 :: ADD - {'position': '68', 'movie': 'Beleza Americana', 'year': '1999', 'duration': '2h 2m', 'rating': '14', 'rate': '8.3', 'history_id': 11}
14-07-2023 10:51:11 :: ADD - {'position': '69', 'movie': 'Batman: O Cavaleiro das Trevas Ressurge', 'year': '2012', 'duration': '2h 44m', 'rating': '12', 'rate': '8.4', 'history_id': 11}
